date,category,value,units,notes
19/08/20,Total Recovered,2037870,value in absolute number,
19/08/20,Total Deaths,52889,value in absolute number,
18/08/20,Total Positive Cases,2702742,value in absolute number,
18/08/20,Number of Active cases,673166,value in absolute number,
18/08/20,Total Recovered,1977779,value in absolute number,
18/08/20,Total Deaths,51797,value in absolute number,
17/08/20,Total Positive Cases,2647663,value in absolute number,
17/08/20,Number of Active cases,676900,value in absolute number,
17/08/20,Total Recovered,1919842,value in absolute number,
17/08/20,Total Deaths,50921,value in absolute number,
16/08/20,Total Positive Cases,2589682,value in absolute number,
16/08/20,Number of Active cases,677444,value in absolute number,
16/08/20,Total Recovered,1862258,value in absolute number,
16/08/20,Total Deaths,49980,value in absolute number,
15/08/20,Total Positive Cases,2526192,value in absolute number,
15/08/20,Number of Active cases,668220,value in absolute number,
15/08/20,Total Recovered,1808936,value in absolute number,
15/08/20,Total Deaths,49036,value in absolute number,
14/08/20,Total Positive Cases,2461190,value in absolute number,
14/08/20,Number of Active cases,661595,value in absolute number,
14/08/20,Total Recovered,1751555,value in absolute number,
14/08/20,Total Deaths,48040,value in absolute number,
13/08/20,Total Positive Cases,2396637,value in absolute number,
13/08/20,Number of Active cases,653622,value in absolute number,
13/08/20,Total Recovered,1695982,value in absolute number,
13/08/20,Total Deaths,47033,value in absolute number,
12/08/20,Total Positive Cases,2329638,value in absolute number,
12/08/20,Number of Active cases,643948,value in absolute number,
12/08/20,Total Recovered,1639599,value in absolute number,
12/08/20,Total Deaths,46091,value in absolute number,
11/08/20,Total Positive Cases,2268675,value in absolute number,
11/08/20,Number of Active cases,639929,value in absolute number,
11/08/20,Total Recovered,1583489,value in absolute number,
11/08/20,Total Deaths,45257,value in absolute number,
10/08/20,Total Positive Cases,2215074,value in absolute number,
10/08/20,Number of Active cases,634945,value in absolute number,
10/08/20,Total Recovered,1535743,value in absolute number,
10/08/20,Total Deaths,44386,value in absolute number,
09/08/20,Total Positive Cases,2153010,value in absolute number,
09/08/20,Number of Active cases,628747,value in absolute number,
09/08/20,Total Recovered,1480884,value in absolute number,
09/08/20,Total Deaths,43379,value in absolute number,
08/08/20,Total Positive Cases,2088611,value in absolute number,
08/08/20,Number of Active cases,619088,value in absolute number,
08/08/20,Total Recovered,1427005,value in absolute number,
08/08/20,Total Deaths,42518,value in absolute number,
07/08/20,Total Positive Cases,2027074,value in absolute number,
07/08/20,Number of Active cases,607384,value in absolute number,
07/08/20,Total Recovered,1378105,value in absolute number,
07/08/20,Total Deaths,41585,value in absolute number,
06/08/20,Total Positive Cases,1964536,value in absolute number,
06/08/20,Number of Active cases,595501,value in absolute number,
06/08/20,Total Recovered,1328336,value in absolute number,
06/08/20,Total Deaths,40699,value in absolute number,
05/08/20,Total Positive Cases,1908254,value in absolute number,
05/08/20,Number of Active cases,586244,value in absolute number,
05/08/20,Total Recovered,1282215,value in absolute number,
05/08/20,Total Deaths,39795,value in absolute number,
04/08/20,Total Positive Cases,1855745,value in absolute number,
04/08/20,Number of Active cases,586298,value in absolute number,
04/08/20,Total Recovered,1230509,value in absolute number,
04/08/20,Total Deaths,38938,value in absolute number,
03/08/20,Total Positive Cases,1803695,value in absolute number,
03/08/20,Number of Active cases,579357,value in absolute number,
03/08/20,Total Recovered,1186203,value in absolute number,
03/08/20,Total Deaths,38135,value in absolute number,
02/08/20,Total Positive Cases,1750723,value in absolute number,
02/08/20,Number of Active cases,567730,value in absolute number,
02/08/20,Total Recovered,1145629,value in absolute number,
02/08/20,Total Deaths,37364,value in absolute number,
01/08/20,Total Positive Cases,1695988,value in absolute number,
01/08/20,Number of Active cases,565103,value in absolute number,
01/08/20,Total Recovered,1094374,value in absolute number,
01/08/20,Total Deaths,36511,value in absolute number,
31/07/20,Total Positive Cases,1638870,value in absolute number,
31/07/20,Number of Active cases,545318,value in absolute number,
31/07/20,Total Recovered,1057805,value in absolute number,
31/07/20,Total Deaths,35747,value in absolute number,
30/07/20,Total Positive Cases,1583792,value in absolute number,
30/07/20,Number of Active cases,528242,value in absolute number,
30/07/20,Total Recovered,1020582,value in absolute number,
30/07/20,Total Deaths,34968,value in absolute number,
29/07/20,Total Positive Cases,1531669,value in absolute number,
29/07/20,Number of Active cases,509447,value in absolute number,
29/07/20,Total Recovered,988029,value in absolute number,
29/07/20,Total Deaths,34193,value in absolute number,
28/07/20,Total Positive Cases,1483156,value in absolute number,
28/07/20,Number of Active cases,496988,value in absolute number,
28/07/20,Total Recovered,952743,value in absolute number,
28/07/20,Total Deaths,33425,value in absolute number,
27/07/20,Total Positive Cases,1435452,value in absolute number,
27/07/20,Number of Active cases,485114,value in absolute number,
27/07/20,Total Recovered,917567,value in absolute number,
27/07/20,Total Deaths,32771,value in absolute number,
26/07/20,Total Positive Cases,1385521,value in absolute number,
26/07/20,Number of Active cases,467882,value in absolute number,
26/07/20,Total Recovered,885576,value in absolute number,
26/07/20,Total Deaths,32063,value in absolute number,
25/07/20,Total Positive Cases,1336860,value in absolute number,
25/07/20,Number of Active cases,456071,value in absolute number,
25/07/20,Total Recovered,849431,value in absolute number,
25/07/20,Total Deaths,31358,value in absolute number,
24/07/20,Total Positive Cases,1287944,value in absolute number,
24/07/20,Number of Active cases,440135,value in absolute number,
24/07/20,Total Recovered,817208,value in absolute number,
24/07/20,Total Deaths,30601,value in absolute number,
23/07/20,Total Positive Cases,1238634,value in absolute number,
23/07/20,Number of Active cases,426167,value in absolute number,
23/07/20,Total Recovered,782606,value in absolute number,
23/07/20,Total Deaths,29861,value in absolute number,
22/07/20,Total Positive Cases,1192914,value in absolute number,
22/07/20,Number of Active cases,411133,value in absolute number,
22/07/20,Total Recovered,753049,value in absolute number,
22/07/20,Total Deaths,28732,value in absolute number,
21/07/20,Total Positive Cases,1155190,value in absolute number,
21/07/20,Number of Active cases,402529,value in absolute number,
21/07/20,Total Recovered,724577,value in absolute number,
21/07/20,Total Deaths,28084,value in absolute number,
20/07/20,Total Positive Cases,1118042,value in absolute number,
20/07/20,Number of Active cases,390459,value in absolute number,
20/07/20,Total Recovered,700086,value in absolute number,
20/07/20,Total Deaths,27497,value in absolute number,
19/07/20,Total Positive Cases,1077617,value in absolute number,
19/07/20,Number of Active cases,373379,value in absolute number,
19/07/20,Total Recovered,677422,value in absolute number,
19/07/20,Total Deaths,26816,value in absolute number,
18/07/20,Total Positive Cases,1038715,value in absolute number,
18/07/20,Number of Active cases,358692,value in absolute number,
18/07/20,Total Recovered,653750,value in absolute number,
18/07/20,Total Deaths,26273,value in absolute number,
17/07/20,Total Positive Cases,1003831,value in absolute number,
17/07/20,Number of Active cases,342473,value in absolute number,
17/07/20,Total Recovered,635756,value in absolute number,
17/07/20,Total Deaths,25602,value in absolute number,
16/07/20,Total Positive Cases,968875,value in absolute number,
16/07/20,Number of Active cases,331146,value in absolute number,
16/07/20,Total Recovered,612814,value in absolute number,
16/07/20,Total Deaths,24915,value in absolute number,
15/07/20,Total Positive Cases,936180,value in absolute number,
15/07/20,Number of Active cases,319840,value in absolute number,
15/07/20,Total Recovered,592031,value in absolute number,
15/07/20,Total Deaths,24309,value in absolute number,
14/07/20,Total Positive Cases,906751,value in absolute number,
14/07/20,Number of Active cases,311565,value in absolute number,
14/07/20,Total Recovered,571459,value in absolute number,
14/07/20,Total Deaths,23727,value in absolute number,
13/07/20,Total Positive Cases,878253,value in absolute number,
13/07/20,Number of Active cases,301609,value in absolute number,
13/07/20,Total Recovered,553470,value in absolute number,
13/07/20,Total Deaths,23174,value in absolute number,
12/07/20,Total Positive Cases,849552,value in absolute number,
12/07/20,Number of Active cases,292258,value in absolute number,
12/07/20,Total Recovered,534620,value in absolute number,
12/07/20,Total Deaths,22674,value in absolute number,
11/07/20,Total Positive Cases,820915,value in absolute number,
11/07/20,Number of Active cases,283407,value in absolute number,
11/07/20,Total Recovered,515385,value in absolute number,
11/07/20,Total Deaths,22123,value in absolute number,
10/07/20,Total Positive Cases,793801,value in absolute number,
10/07/20,Number of Active cases,276685,value in absolute number,
10/07/20,Total Recovered,495512,value in absolute number,
10/07/20,Total Deaths,21604,value in absolute number,
09/07/20,Total Positive Cases,767295,value in absolute number,
09/07/20,Number of Active cases,269789,value in absolute number,
09/07/20,Total Recovered,476377,value in absolute number,
09/07/20,Total Deaths,21129,value in absolute number,
08/07/20,Total Positive Cases,742416,value in absolute number,
08/07/20,Number of Active cases,264944,value in absolute number,
08/07/20,Total Recovered,456830,value in absolute number,
08/07/20,Total Deaths,20642,value in absolute number,
07/07/20,Total Positive Cases,719664,value in absolute number,
07/07/20,Number of Active cases,259557,value in absolute number,
07/07/20,Total Recovered,439947,value in absolute number,
07/07/20,Total Deaths,20160,value in absolute number,
06/07/20,Total Positive Cases,697412,value in absolute number,
06/07/20,Number of Active cases,253287,value in absolute number,
06/07/20,Total Recovered,424432,value in absolute number,
06/07/20,Total Deaths,19693,value in absolute number,
